patterns,tag
Hi, Greeting 
Hi there, Greeting 
Hey, Greeting 
Hello, Greeting 
Hello there, Greeting 
Hya, Greeting 
Hya there , Greeting 
Tell me about yourself ?,About
Tell me about your self ?,About
What do you sell?,About
What the chatbot about?,About
What do you have?,About
What is this about,About
what do you provide,About
My name is Sir/Ma'am, GreetingResponse 
This is Sir/Ma'am, GreetingResponse 
I am Sir/Ma'am, GreetingResponse 
It is Sir/Ma'am, GreetingResponse 
 Good Morning, Greetings_GM 
 GM, Greetings_GM 
 Good Afternoon, Greetings_GA 
 GA , Greetings_GA 
 GE, Greetings_GE 
 Good Evening , Greetings_GE 
What is your name?, Name 
What could I call you?, Name 
What can I call you?, Name 
What do your friends call you?, Name 
Who are you?, Name 
Tell me your name?, Name 
"Hello, chatbot my name is Sir/Ma'am what is you name", Name 
What is your real name?, RealName 
What is your real name please?, RealName 
What's your real name?, RealName 
Tell me your real name?, RealName 
Your real name?, RealName 
Your real name please?, RealName 
What can I call you?, RealName 
OK thank you, Thanks 
OK thanks, Thanks 
OK, Thanks 
Thanks, Thanks 
Thank you, Thanks 
That's helpful, Thanks 
Be quiet, Shutup 
Shut up, Shutup 
Stop talking, Shutup 
Enough talking, Shutup 
Please be quiet, Shutup 
Quiet, Shutup 
Shhh, Shutup 
Bye, GoodBye 
Adios, GoodBye 
See you later, GoodBye 
Goodbye, GoodBye 
"Thanks, bye", CourtesyGoodBye 
"Thanks for the help, goodbye", CourtesyGoodBye 
"Thank you, bye", CourtesyGoodBye 
"Thank you, goodbye", CourtesyGoodBye 
Thanks goodbye, CourtesyGoodBye 
Thanks good bye, CourtesyGoodBye 
Shirts ,Shirts
Plain Shirts,Shirts
Printed Shirts,Shirts
Half sleeves Shirts,Shirts
Formal Shirts,Shirts
Polo Shirts,Shirts
Types of Shirts,Shirts_Types 
What kind of shirts do you have,Shirts_Types 
What are the different varieties of shirts you provide,Shirts_Types 
Do you have half sleeves shirts?,Shirts_Types 
Do you have full sleeves shirts?,Shirts_Types 
Categories in Shirts,Shirt_Categories 
Do you have Plain Shirts?,Shirt_Categories 
Do you have Printed Shirts?,Shirt_Categories 
Do you have Half-sleeves Shirts?,Shirt_Categories 
Do you have Full-sleeves Shirts?,Shirt_Categories 
Do you provide Plain Shirts?,Shirt_Categories 
Do you provide Printed Shirts?,Shirt_Categories 
Do you provide Half-sleeves Shirts?,Shirt_Categories 
Do you provide Full-sleeves Shirts?,Shirt_Categories 
Do you have Plain Shirts?,Shirt_Categories_Plain_Shirts 
Do you provide Plain Shirts?,Shirt_Categories_Plain_Shirts 
Plain Shirts,Shirt_Categories_Plain_Shirts 
Simple Plain  Shirts,Shirt_Categories_Plain_Shirts 
Do you have Printed Shirts?,Shirt_Categories_Printed_Shirts 
Do you provide Printed Shirts?,Shirt_Categories_Printed_Shirts 
Printed Shirts,Shirt_Categories_Printed_Shirts 
Simple Printed  Shirts,Shirt_Categories_Printed_Shirts 
Do you have Half Sleeves Shirts?,Shirt_Categories_Sleeves_Shirts 
Do you have Full Sleeves Shirts?,Shirt_Categories_Sleeves_Shirts 
Do you provide Half Sleeves Shirts?,Shirt_Categories_Sleeves_Shirts 
Do you provide Full Sleeves Shirts?,Shirt_Categories_Sleeves_Shirts 
Half Sleeves Shirts,Shirt_Categories_Sleeves_Shirts 
Full Sleeves Shirts,Shirt_Categories_Sleeves_Shirts 
