words,counts
hi,2
there,5
hey,1
hello,2
hya,2
,76
tell,4
me,31
about,3
yourself,1
?,61
your,10
self,1
what,254
do,83
you,125
sell?,1
the,238
chatbot,2
about?,1
have?,2
is,21
this,2
provide,25
my,2
name,5
sir/ma'am,5
i,20
am,1
it,1
good,4
morning,1
gm,1
afternoon,1
ga,1
ge,1
evening,1
name?,6
could,1
call,4
you?,5
can,2
friends,1
who,1
are,240
"hello,",1
real,6
please?,2
what's,1
ok,3
thank,4
thanks,5
that's,1
helpful,1
be,2
quiet,3
shut,1
up,1
stop,1
talking,2
enough,1
please,1
shhh,1
bye,4
adios,1
see,9
later,1
goodbye,4
"thanks,",1
for,92
"help,",1
"you,",2
shirts,35
plain,10
printed,10
half,8
sleeves,10
formal,9
polo,6
types,56
of,113
kind,3
have,86
different,196
varieties,13
shirts?,32
full,4
categories,7
in,199
half-sleeves,4
full-sleeves,4
simple,4
casual,1
party,1
party-casual,1
size,21
sizes,47
shirt,1
selves,2
colours,36
provide?,2
multi-colour,1
price,53
range,20
a,2
very,2
high,2
prices,11
average,1
basic,1
or,1
normal,1
t-shirts,17
t-shirts?,18
which,1
t-shirt,1
v-neck,2
sleep,20
wear,75
women,61
night,24
dresses,15
want,16
dress,44
show,46
ladies,44
girls,25
to,13
material,41
available,164
fabrics,1
women's,6
all,40
offer,3
dresses?,8
rates,10
rate,3
check,4
that,2
lounge,21
pajamas,1
home,11
pajama,5
suits,8
and,5
sports,13
active,8
leggings,9
athletic,3
gym,7
exercise,6
checkout,1
ranges,4
wear?,11
handbags,9
clutch,1
purse,2
purses,7
fancy,1
latest,1
women?,2
clutches,1
classic,1
sling,4
bags,3
bag,1
rings,5
bracelets,6
does,2
section,2
include?,2
section?,3
categories?,1
ethnic,2
sarees?,5
saree,1
available?,43
kurtas?,3
kurta,3
salwar,8
suits?,8
suit,4
material?,3
bottom,10
dupattas?,5
dupattas,6
bottoms?,1
blouses?,5
western,3
"variety?,do",1
tops?,5
tops,5
jumpsuits?,5
jumpsuits,4
skirts?,5
skirts,4
jeans,5
&,11
jeggings?,3
jeggings,1
winterwear?,1
winterwear,1
trousers?,13
trousers,9
leggings?,13
blazers?,1
blazers,1
weardo,1
shorts,6
available?do,3
pyjama,2
sets,2
availabledo,8
nightwear,2
setsare,1
sportswear?,2
sportswear?do,1
sweatshirts,2
hoodies,2
leggingsare,1
shortsare,1
track,2
jacketsare,1
jackets,1
sweatersare,1
sweaters,1
vestsare,1
vests,1
accessories?,2
accessories?do,1
scarves,2
shawls,2
caps,2
hatsare,1
hats,1
beltsare,1
belts,1
brands,30
sarees,5
brandwhat,2
sareesshow,1
sareessarees,3
rangess,27
sarres,2
colourswhat,5
haveshow,2
sareescolous,2
discounts,30
any,1
discountsranges,1
discount,3
kurtaskurtas,3
sizessizes,1
kurtasdifferent,1
kurtas,14
kurtasshow,1
kurtascolous,1
styles,13
stylesstyles,3
kurtasdo,4
neck,6
styledo,3
v-neckdo,3
boat,3
sleeve,11
alailable,3
longsleeve,3
shortsleeve,1
sleveless,3
lengths,18
lengh,1
availableshow,2
lengthdo,2
calf,1
longdo,1
knee,1
ankle,1
length,1
kurta?,2
rangekurta,1
prive,1
materialshow,1
suit?,1
suitshow,1
suitcolous,1
materialdress,3
materiamdo,1
materialdo,1
shortsleevedo,2
chudidars?,4
chudidarsshow,2
chudidars,7
chdidars,1
chudidarscolous,1
chudidarschudidars,1
chudidarsdo,2
chudidar,1
lengthschudiadars,1
stitch,3
type,3
blouses,3
lehega,7
cholis?,4
cholis,3
gowns?,4
gowns,3
shorts?,4
jeans?,7
waist,5
fit,9
shrugs,4
shrugs?,8
ponchos,4
ponchos?,7
